X;Y;CODESC;NOMEESC;END_ESC;NUM_ESC;BAIRRO;NOMDIST
-46.741814;-23.880401;35571416;VOVO MARIAZINHA ROCHA CEI;BENEDITO SCHUNCK;2;EMBURA;MARSILAC
-46.678967;-23.868805;35482705;NOVA AMERICA CENTRO DE EDUCACAO INFANTIL;JANE VANINE CAPOZI;45-46;CIDADE NOVA AMERICA;PARELHEIROS
-46.796116;-23.738639;35584447;CENTRO DE EDUCACAO INFANTIL MARGARIDAS AMARELAS;PLINIO DIAS;10022;VILA GUIOMAR;ITAPECERICA DA SERRA
-46.79441;-23.73777;35561198;VILA CALU I EMEI;HUMBERTO MARCAL;;VILA CALU;JARDIM ANGELA
-46.795505;-23.693233;35579026;CEI GOTINHAS DO SABER;PEROBEIRAS;738;CHACARA SANTA MARIA;CAPAO REDONDO
-46.799518;-23.686951;35582165;EMEI CHACARA SANTA MARIA;FEITICO DA VILA;877;CHACARA SANTA MARIA;CAPAO REDONDO
-46.798308;-23.683102;35584236;CENTRO DE EDUCACAO INFANTIL PENTAGRAMA VII;TRIBO DOS ACRAS;130;JARDIM DOM JOSE;CAPAO REDONDO
-46.796576;-23.69002;35584599;CENTRO DE EDUCACAO INFANTIL SOLAR DOS UNIDOS I;PEROBEIRAS;360;CHACARA SANTA MARIA;CAPAO REDONDO
-46.794558;-23.686648;35455775;JOSE FREITAS NOBRE DEP PROF CEU;FEITICO DA VILA;399;CHACARA SANTA MARIA;CAPAO REDONDO
-46.793646;-23.68648;35461313;BERNADETE APARECIDA PEREIRA GODOI PROFA;LUAR DO SERTAO;;CHACARA SANTA MARIA;CAPAO REDONDO
-46.798533;-23.677538;35581161;CENTRO DE EDUCACAO INFANTIL CASTILHO;MOACYR DO AMARAL SANTOS MINISTRO;387;JARDIM DOM JOSE;CAPAO REDONDO
-46.795273;-23.676032;35583558;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ANDORINHA DOS BEIRAIS;ANDORINHA-DOS-BEIRAIS;350;JARDIM DOM JOSE;CAPAO REDONDO
-46.792922;-23.602663;35455623;UIRAPURU CEU;NAZIR MIGUEL;849;JARDIM PAULO VI;RAPOSO TAVARES
-46.727326;-23.791671;35584708;CENTRO DE EDUCACAO INFANTIL SETE MARIAS;SADAMU INOUE;7150;VILA MARCELO;PARELHEIROS
-46.783027;-23.733425;35455885;VILA DO SOL CEU;FUNCIONARIOS PUBLICOS;369;VILA DO SOL;JARDIM ANGELA
-46.781877;-23.726066;35578952;CENTRO DE EDUCACAO INFANTIL PENTAGRAMA III;CRUZEIROS;87;PARQUE DAS CEREJEIRAS;JARDIM ANGELA
-46.720282;-23.825086;35455696;ENEIDA PALMA LEITE PROFESSORA PARELHEIROS CEU;JOSE PEDRO DE BORBA;20;JARDIM NOVO PARELHEIROS;PARELHEIROS
-46.724973;-23.803346;35577005;CENTRO DE EDUCACAO INFANTIL AS PRINCESAS;PIRAJU;913;JARDIM ALMEIDA;PARELHEIROS
-46.72291;-23.776367;35985168;CEL JTO A EE PAULINO NUNES ESPOSO;SADAMU INOUE;365;JARDIM CASA GRANDE;PARELHEIROS
-46.71377;-23.772032;35472311;MONTEIRO LOBATO CENTRO DE EDUCACAO INFANTIL;CORTELHAS;71;JARDIM MARIA AMALIA;PARELHEIROS
-46.703094;-23.775631;35580036;CENTRO DE EDUCACAO INFANTIL VENHA CONOSCO UNIDADE III;RIO SAO NICOLAU;294;JARDIM CAMPINAS;GRAJAU
-46.70228;-23.773584;35482699;JARDIM CAMPINAS CENTRO DE EDUCACAO INFANTIL;RIO SAO LOURENCO;64;JARDIM CAMPINAS;GRAJAU
-46.705118;-23.763108;35495700;RIN TIN TIN ESCOLA DE EDUCACAO INFANTIL;MARTA MARIA BERNARDES PROFESSORA;145;VILA NATAL;GRAJAU
-46.706062;-23.757633;35579336;COLEGIO AGNUS DEI JUNIOR;JOAO AMOS COMENIUS;1217;JARDIM SAO BERNARDO;GRAJAU
-46.698845;-23.76921;35458351;CEL JTO A EE ESTHER GARCIA PROFA;ANTONIO CARLOS B. DOS SANTOS;858;;GRAJAU
-46.702127;-23.761249;35563785;JARDIM DAS MACAUBAS CENTRO DE EDUCACAO INFANTIL;MACAUBA NATAL;221;VILA NATAL;GRAJAU
-46.696124;-23.763647;35585497;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL JARDIM MYRNA;CARLOS ALBERTO BASTOS MACHADO;;JARDIM MYRNA;GRAJAU
-46.695425;-23.763265;35478982;ANJINHO FELIZ ENSINO RECREATIVO;TERCIO DE BARROS PIMENTEL DOUTOR;35;JARDIM TANAY;GRAJAU
-46.7124;-23.724291;35565799;JARDIM DOS PINHEIROS CENTRO DE EDUCACAO INFANTIL;RELVA VELHA;138;JARDIM SERTAOZINHO;CIDADE DUTRA
-46.706405;-23.740603;35458399;CEL JTO A EE ALBERTO SALOTTI PROF;CARLOS OBERHUBER;90;JARDIM FLORESTA;CIDADE DUTRA
-46.699308;-23.734788;35292722;FLECHINHA DE OURO ENSINO RECREATIVO INFANTIL;OSCAR NELSON;55;JORDANOPOLIS;CIDADE DUTRA
-46.696023;-23.727384;35455600;VILA RUBI ALEXANDRE KADUNC JORNALISTA CEU;DOMINGOS TARROSO;101;VILA RUBI;CIDADE DUTRA
-46.679609;-23.784135;35580703;CEI JOSE ROBERTO SOUSA;HENRIQUE ALBERTUS;15;JARDIM VARGINHA;GRAJAU
-46.693894;-23.771994;35565623;PRECISAO ESCOLA DE EDUCACAO INFANTIL;ROSA DE VENUS;125;JARDIM ZILDA;GRAJAU
-46.681412;-23.76842;35565507;AGNUS DEI JUNIOR COLEGIO;NEREU BERTINI MAGALHAES;450;JARDIM BELCITO;GRAJAU
-46.67715;-23.768736;35567565;CANTINHO DE ALEGRIA COLEGIO;TOMAS IRIARTE;29;JARDIM NORONHA;GRAJAU
-46.676521;-23.768642;35479081;JARDIM NORONHA V;RUFINO ZADO;;JARDIM NORONHA;GRAJAU
-46.663299;-23.765774;35580776;CEI JARDIM ELLUS;TUTANKAMON;88;JARDIM ELLUS;GRAJAU
-46.669668;-23.762715;35578685;CEI KADOSHI;JEQUIRITUBA;1833;JARDIM SHANGRILA (ZONA SUL);GRAJAU
-46.66741;-23.756851;35455866;TRES LAGOS CEU;BARRO BRANCO;;JARDIM ELIANA;GRAJAU
-46.665722;-23.758861;35580028;CENTRO DE EDUCACAO INFANTIL YANNI;RUA IRMA MARIA LOURENCA;4;;GRAJAU
-46.691767;-23.74928;35580016;CRECHE PARTICULAR CONVENIADA VOVO AIDA RAMOS FERREIRA;RUA TENENTE JOECYL CAMARGO DA MATA;55;;GRAJAU
-46.686962;-23.756092;35584861;ESCOLA SBA GIRASSOL;RICARDO MACEDO;5;PARQUE SAO MIGUEL;GRAJAU
-46.69245;-23.734813;35581636;CENTRO DE EDUCACAO INAFANTIL JURUVA;NAZARE PRADO;300;PARQUE AMERICA;GRAJAU
-46.689347;-23.736733;35498178;COELHINHO BRANCO CENTRO DE RECREACAO INFANTIL;CIRO SALOMAO;187;PARQUE AMERICA;GRAJAU
-46.668485;-23.741031;35561186;ALVORADA CENTRO DE EDUCACAO INFANTIL;CANAL DE COCAIA;5000;PARQUE RESIDENCIAL COCAIA;GRAJAU
-46.668485;-23.741031;35584691;CENTRO DE EDUCACAO INFANTIL ANGELINA;CANAL DE COCAIA;5000;PARQUE RESIDENCIAL COCAIA;GRAJAU
-46.668485;-23.741031;35584903;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL JARDIM GAIVOTAS;CANAL DE COCAIA;5000;PARQUE RESIDENCIAL COCAIA;GRAJAU
-46.668099;-23.740963;35472505;ILDA VIEIRA VILELA;CANAL DE COCAIA;;PARQUE RESIDENCIAL COCAIA;GRAJAU
-46.66679;-23.73915;35579397;CENTRO DE EDUCACAO INFANTIL JOAO DE TARSO;CANAL DE COCAIA;2760;PARQUE RESIDENCIAL COCAIA;GRAJAU
-46.77806;-23.716336;35579841;CENTRO DE EDUCACAO INFANTIL PARQUE DO LAGO;RUA ENGENHEIRO RICARDO MEDINA;12;;JARDIM ANGELA
-46.788778;-23.691648;35581318;CENTRO DE EDUCACAO INFANTIL PEQUENAS TURQUESAS;GUARUJA;311;JARDIM GUARUJA;JARDIM ANGELA
-46.786489;-23.692943;35580909;CENTRO DE EDUCACAO INFANTIL JOSE AVELINO II;GUARUJA;45;JARDIM GUARUJA;JARDIM ANGELA
-46.77997;-23.699039;35569069;NOVO AMANHECER CENTRO DE EDUCACAO INFANTIL;M BOI MIRIM;6223;PARQUE DO LAGO;JARDIM ANGELA
-46.766878;-23.71657;35566378;SANTA MONICA CENTRO DE EDUCACAO INFANTIL;ESTRADA DA CUMBICA;540;;JARDIM ANGELA
-46.77375;-23.699071;35567978;REINO DO CARINHO CENTRO DE EDUCACAO INFANTIL;MANUEL VITOR DE JESUS;250;JARDIM NAKAMURA;JARDIM ANGELA
-46.762394;-23.696799;35566500;LACERDINHA ESCOLA DE EDUCACAO INFANTIL;ARMANDO RODRIGUES TAVARES;119;ALTO DA RIVIERA;JARDIM ANGELA
-46.759954;-23.693193;35579294;CENTRO DE EDUCACAO INFANTIL PEQUENOS GENIOS;ALEXANDRINA MALISANO DE LIMA;800;JARDIM HERCULANO;JARDIM ANGELA
-46.792369;-23.676113;35578356;CENTRO DE EDUCACAO INFANTIL SAO FRANCISCO DE ASSIS;ERNESTO SOARES FILHO;344;PARQUE FERNANDA;CAPAO REDONDO
-46.782275;-23.684688;35578800;CEI NOVO AMANHECER JARDIM SAO BENTO;JOAO ROBALO;794;JARDIM SORAIA;CAPAO REDONDO
-46.788832;-23.670674;35576797;CEI CONVENIADA PENTAGRAMA I;RIBAMAR DE MIRANDA GENERAL;362;PARQUE FERNANDA;CAPAO REDONDO
-46.789917;-23.664199;35569161;CAMINHAR CENTRO DE EDUCACAO INFANTIL UNIDADE IV;GIORGIO MORANDI;13;JARDIM IRAPIRANGA;CAPAO REDONDO
-46.787035;-23.664504;35567747;NOVO AMANHECER CENTRO DE EDUCACAO INFANTIL JARDIM AMALIA;SERRA DA CANASTRA;101;JARDIM AMALIA;CAPAO REDONDO
-46.783425;-23.671633;35577085;CEI SEMENTINHA DO AMOR;MARMELEIRO DO CAMPO;125;CONJUNTO HABITACIONAL INSTITUTO ADVENTISTA;CAPAO REDONDO
-46.779876;-23.673916;35483102;ACAO TRANSFORMACAO EDUCACIONAL E CULTURAL;ANTONIO ALZELINO GUERRA;321;JARDIM DO COLEGIO;CAPAO REDONDO
-46.778614;-23.669099;35579497;ESCOLA PARTICULAR A RECREATIVA;PERA ROSA;197;CONJUNTO HABITACIONAL INSTITUTO ADVENTISTA;CAPAO REDONDO
-46.784493;-23.666673;35569987;NATALIA REZINO I CENTRO DE EDUCACAO INFANTIL;BRACARA;66;JARDIM AMALIA;CAPAO REDONDO
-46.781252;-23.661479;35578782;CEI FLORESCER;RUA DOM RODRIGO SANCHES;202;;CAPAO REDONDO
-46.779892;-23.661798;35560736;GUILHERME PARANHOS ESCOLA;RODRIGO SANCHES DOM;67;JARDIM AMALIA;CAPAO REDONDO
-46.775061;-23.690444;35482336;CENTRO DE EDUCACAO INFANTIL MIRA ORUBE;TIQUIRA;;MORRO DO INDIO;JARDIM ANGELA
-46.770118;-23.687582;35578769;ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL IRMAOS GUIMARAES;BONFINOPOLIS DE MINAS;106;JARDIM TUPI;JARDIM ANGELA
-46.768844;-23.679225;35577765;CENTRO D EDUCACAO INFANTIL CAMINHAR VII;SEBASTIAO SOARES;11;JARDIM CLARICE;CAPAO REDONDO
-46.767799;-23.684347;35578204;CENTRO DE ED INFANTIL CONSTRUINDO CONSCIENCIA;ERNESTO PASQUALUCCI;319;JARDIM DIONISIO;JARDIM ANGELA
-46.765034;-23.686276;35560881;JOSE REGINALDO DA FONSECA CENTRO DE EDUCACAO INFANTIL;BARROSO DO AMARAL PROFESSOR;367;VILA SANTA LUCIA;JARDIM ANGELA
-46.760523;-23.689954;35566834;JARDIM KAGOHARA I EMEI;FERMATAS;120 A;JARDIM KAGOHARA;JARDIM ANGELA
-46.763514;-23.675909;35813400;DESTINO AO SABER ESCOLA;RUA CIRO FERRI;2B;VILA GUEOMAR;JARDIM ANGELA
-46.774516;-23.661267;35498543;CAPAO REDONDO I CENTRO DE EDUCACAO INFANTIL;ARROIO TIPIAIA;269;CONJUNTO HABITACIONAL INSTITUTO ADVENTISTA;CAPAO REDONDO
-46.767872;-23.673386;35455799;CELSO SEIXAS RIBEIRO BASTOS PROF DR CEU;DANIEL GRAN;;JARDIM MODELO;CAPAO REDONDO
-46.767172;-23.672616;35576897;CEI CONVENIADA NOSSA SENHORA RAINHA DA PAZ;SERRA DA LAGOA;21;JARDIM MODELO;CAPAO REDONDO
-46.767543;-23.668081;35985156;CEL JTO A EE LEOPOLDO SANTANA PROFESSOR;MANOEL DUARTE OLIVEIRA;151;CAPAO REDONDO;CAPAO REDONDO
-46.764971;-23.669647;35582943;PONTES ESCOLA DE EDUACAO INFANTIL;DIOGO CORREIA DE SANDE;425;JARDIM LIDIA;CAPAO REDONDO
-46.764503;-23.668466;35579658;CENTRO DE EDUCACAO INFANTIL VOVO SUZANA;SIMAO DE OLIVEIRA;80;JARDIM LIDIA;CAPAO REDONDO
-46.765024;-23.663433;35578885;CENTRO DE EDUCACAO CRIANCAS ESTRELINHAS DA TERRA;LEONICE MARIA;54;PARQUE MARIA HELENA;CAPAO REDONDO
-46.763476;-23.663152;35580119;CENTRO DE EDUCACAO INFANTIL ESPERANCA DO SABER;ANALIA DOLACIO ALBINO;503;PARQUE MARIA HELENA;CAPAO REDONDO
-46.758593;-23.723743;35513210;EMEF PROFESSOR EDIVALDO DOS SANTOS DANTAS;PERATUBA;09;CIDADE IPAVA;JARDIM ANGELA
-46.759205;-23.720479;35569021;CENTRO MUNICIPAL DE EDUCACAO INFANTIL LAZARA VEIGA CATELLANI;AV CAPORANGA;30;;JARDIM ANGELA
-46.752944;-23.718741;35578617;CEI CRISTO LIBERTADOR I;BAZILIO RAMOS;75;MIAMI PAULISTA;JARDIM ANGELA
-46.753322;-23.693792;35578605;CEI CASA DA ARVORE;CANDELARIA;250;JARDIM MARQUESA;JARDIM SAO LUIS
-46.756432;-23.675083;35580326;CENTRO EDUCACIONAL DELEONI;CRISTIANO CLEMENTE DA SILVA;471;JARDIM THOMAZ;JARDIM SAO LUIS
-46.74817;-23.681374;35492425;PARQUE FIGUEIRA GRANDE RECANTO INFANTIL COMUNITARIO CEI;GASPAR REGO FIGUEIREDO;500;JARDIM FIGUEIRA GRANDE;JARDIM SAO LUIS
-46.746768;-23.680549;35566718;PARQUE FIGUEIRA GRANDE I EMEI;ANGELO FRANCISCO;111;JARDIM FIGUEIRA GRANDE;JARDIM SAO LUIS
-46.758844;-23.673213;35576682;CENTRO DE EDUCACAO INFANTIL JOSE AVELINO;DEOCLECIANO DE OLIVEIRA FILHO;1137;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.757422;-23.673527;35567991;NOVO AMANHECER JARDIM THOMAS CENTRO DE EDUCACAO INFANTIL;MICHEL JACOB CHEID;64;JARDIM THOMAZ;JARDIM SAO LUIS
-46.754042;-23.670955;35577777;CENTRO DE EDUCACAO INFANTIL CAMINHAR V;CELSO MAGALHAES;31;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.755337;-23.669112;35498014;NOSSA SENHORA DAS GRACAS CENTRO DE EDUCACAO INFANTIL;ALBERTO VICENTE CARDOSO;85;JARDIM THOMAZ;JARDIM SAO LUIS
-46.754501;-23.665542;35567838;VILA ENCANTADA CENTRO DE EDUCACAO INFANTIL;LAET DE TOLEDO CESAR;30;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.753947;-23.663848;35584538;CENTRO DE EDUCACAO INFANTIL NOVO AMANHECER;ROBERTO BARBETTA ENGENHEIRO;30;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.752125;-23.66357;35582300;COLEGIO PING PONG BETHUEL;ALTINO ALVES DE ABREU;60;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.752744;-23.660595;35579282;ESCOLA DE RECREACAO INFANTIL CASTELO DOS SONHOS;JUANA SAMARY;262;JARDIM DUPRAT;JARDIM SAO LUIS
-46.749273;-23.669289;35566385;PIRRALHINHOS I CENTRO DE EDUCACAO INFANTIL;BARTOLOMEU DOS SANTOS;541;CHACARA SANTANA;JARDIM SAO LUIS
-46.748285;-23.666431;35574934;PARQUE SANTO ANTONIO EMEI;RINALDO DE HANDEL;;CHACARA SANTANA;JARDIM SAO LUIS
-46.746995;-23.664793;35563122;MANGA ROSA CENTRO DE EDUCACAO INFANTIL;JOSE MANOEL CAMISA NOVA;550;PARQUE SANTO ANTONIO;JARDIM SAO LUIS
-46.740369;-23.673882;35563110;CAMINHAR UNIDADE II CENTRO DE EDUCACAO INFANTIL;ANHANDUI MIRIM;530;JARDIM DAS FLORES;JARDIM SAO LUIS
-46.736617;-23.660395;35577996;CENTRO DE EDUCACAO INFANTIL TERRA NOSSA;GABRIEL FAURE;214;JARDIM SAO JOAO;JARDIM SAO LUIS
-46.72956;-23.669225;35565635;UNIVERSO CRIANCA CENTRO DE EDUCACAO INFANTIL;GERALDA RANGEL BIANCHINI;87;PARQUE ALVES DE LIMA;JARDIM SAO LUIS
-46.728824;-23.668484;35568399;CAMINHAR CENTRO DE EDUCACAO INFANTIL III;JOSE ANDREOTTI;101;PARQUE ALVES DE LIMA;JARDIM SAO LUIS
-46.733414;-23.661161;35461295;RAIMUNDO SERAFIM DE LIMA INSPETOR;BENTO BARROSO PEREIRA;;JARDIM SAO FRANCISCO DE ASSIS;JARDIM SAO LUIS
-46.733482;-23.659423;35579038;CEI PEQUENOS TALENTOS;SALGUEIRO DO CAMPO;319;JARDIM IBIRAPUERA;JARDIM SAO LUIS
-46.729435;-23.663901;35404718;CENTRO DE ATEND SOCIO-EDUC AO ADOLESC JARDIM SAO LUIZ I CI;FREDERICO GROTTE;;JARDIM VERGUEIRO;JARDIM SAO LUIS
-46.729435;-23.663901;35412961;CENTRO DE ATEND SOCIO-EDUCAO ADOLESC JARDIM SAO LUIZ II CI;FREDERICO GROTTE;;JARDIM VERGUEIRO;JARDIM SAO LUIS
-46.790239;-23.656055;35578502;CENTRO DE EDUCACO INFANTIL PENTAGRAMA II;FRANCISCO ANTONIO DA LUZ;374;JARDIM MACEDONIA;CAPAO REDONDO
-46.790758;-23.650161;35578794;CEI AMANHECER;LOUIS CARRAND;63;JARDIM MACEDONIA;CAPAO REDONDO
-46.787047;-23.643059;35495335;JARDIM MARIA SAMPAIO CENTRO DE EDUCACAO INFANTIL;AUGUSTO BARBOSA TAVARES;700;JARDIM IRACEMA;CAMPO LIMPO
-46.78622;-23.643859;35444625;BELEZINHA CENTRO DE EDUCACAO INFANTIL;CANTANHEDE;300;PIRAJUSSARA;CAMPO LIMPO
-46.786208;-23.642685;35477977;JARDIM MARIA SAMPAIO II;CANTANHEDE;;PIRAJUSSARA;CAMPO LIMPO
-46.784173;-23.655924;35582633;CEI VO CHICA;OLIMPIO RODRIGUES DE ARAUJO;828;JARDIM MACEDONIA;CAPAO REDONDO
-46.783871;-23.65039;35455544;CANTOS DO AMANHECER CEU;CANTOS DO AMANHECER;10;JARDIM ELEDY;CAMPO LIMPO
-46.782305;-23.645724;35319961;ESTRELINHA DO SABER CENTRO DE RECREACAO INFANTIL;JORGE AFONSO;186;JARDIM MITSUTANI;CAMPO LIMPO
-46.781928;-23.642345;35582037;EMEI PIRAJUSSARA;PIRAJUSSARA-VALO VELHO;450;JARDIM MITSUTANI;CAMPO LIMPO
-46.779341;-23.645906;35567826;BELEZINHA III CENTRO DE EDUCACAO INFANTIL;CARLOS LACERDA;1610;PIRAJUSSARA;CAMPO LIMPO
-46.778364;-23.64071;35580338;CENTRO DE ED INFANTIL CONVENIADA PENTAGRAMA IV;CABAXI;318;JARDIM LEONIDAS MOREIRA;CAMPO LIMPO
-46.779606;-23.637565;35455751;DON AGNELO ROSSI CARDEAL CEU;CARLOS LACERDA;678;PIRAJUSSARA;CAMPO LIMPO
-46.775539;-23.642489;35569975;PINTANDO O SETE ESCOLA DE EDUCACAO INFANTIL;MITIM;35;JARDIM LEONIDAS MOREIRA;CAMPO LIMPO
-46.763694;-23.646939;35582542;ESCOLA DE EDUCACAO INFANTIL SONHO DE CRIANCA;CAMPO LIMPO;1296;VILA PREL;CAMPO LIMPO
-46.763703;-23.643945;35579245;CEI MAREZINHA;OSCAR CAMPIGLIA PROFESSOR;524;PARQUE IPE;CAMPO LIMPO
-46.76061;-23.645759;35562993;CAMPO LIMPO V CENTRO DE EDUCACAO INFANTIL;JOAO RODRIGUES DE MOURA;;JARDIM PIRACUAMA;CAMPO LIMPO
-46.771332;-23.635108;35584496;CENTRO DE EDUCACAO INFANTIL NOVOS CAMINHOS;MIGUEL GONCALVES CORREIA;177;VILA PIRAJUSSARA;CAMPO LIMPO
-46.769345;-23.633035;35578332;CENTRO DE EDUCACAO PIRAJUCARA;AMERICO FALCAO;385;VILA PIRAJUSSARA;CAMPO LIMPO
-46.765332;-23.641627;35569461;UMA NOVA HISTORIA CENTRO DE EDUCACAO INFANTIL;DIOGO RODRIGUES;96;PARQUE IPE;CAMPO LIMPO
-46.766184;-23.637457;35580156;CENTRO DE EDUCACAO INFANTIL ESTRELA DA MANHA;JISITI NODA;233;JARDIM MARIA VIRGINIA;CAMPO LIMPO
-46.760541;-23.640413;35496873;ARCA ESCOLA;FORTE DA BARRA;6;JARDIM SANTA EFIGENIA;CAMPO LIMPO
-46.766879;-23.631389;35560900;EDUCAR NUCLEO DE EDUCACAO E CULTURA;AMADEU DA SILVA SAMELO;156;JARDIM MARTINICA;CAMPO LIMPO
-46.762447;-23.63301;35563171;CAMPO LIMPO VI EMEI;DOMINGOS DE GOES;;JARDIM CATANDUVA;CAMPO LIMPO
-46.760304;-23.633326;35568065;JOSE REGINALDO DA FONSECA CENTRO DE EDUCACAO INFANTIL II;BERCO UDLER;65;JARDIM CATANDUVA;CAMPO LIMPO
-46.789018;-23.595529;35576918;NUCLEO DE EDUCACAO INFANTIL ALVORADA;RUBENS REIS REZENDE;79;JARDIM ARPOADOR;RAPOSO TAVARES
-46.785211;-23.596502;35561654;ARTE VIVA COLEGIO;ASDRUBAL DA CUNHA GENERAL;279;JARDIM ARPOADOR;RAPOSO TAVARES
-46.757698;-23.651526;35579208;CENTRO DE EDUCACAO PENTAGRAMA V;ITAPECERICA;2710;VILA PREL;CAPAO REDONDO
-46.756316;-23.651447;35567814;LAPIS SUL ESCOLA;FELIX FAGUNDES;27;JARDIM NOVA GERMANIA;CAPAO REDONDO
-46.755066;-23.650135;35578712;CEI MUNDO ENCANTADO DA CRIANCA;CAPELINHA;10;JARDIM GERMANIA;CAPAO REDONDO
-46.749093;-23.656439;35579087;CENTRO DE EDUCACAO INFANTIL RESTAURANDO SONHOS;DANIEL AUBER;59;JARDIM IRACEMA;JARDIM SAO LUIS
-46.744996;-23.645513;35455573;CASA BLANCA SOLON BORGES DOS REIS CEU;JOAO DAMASCENO;85;VILA DAS BELEZAS;JARDIM SAO LUIS
-46.759363;-23.630315;35579580;CENTRO DE EDUCACAO INFANTIL BEIJA FLOR;NINA STOCCO PROFESSORA;861;JARDIM CATANDUVA;CAMPO LIMPO
-46.755673;-23.631264;35495943;SABEDORIA COLEGIO;CARANDAZINHO;172;JARDIM OLINDA;CAMPO LIMPO
-46.754315;-23.629484;35580387;CENTRO DE EDUCACAO INFANTIL CAMINHAR VI;CLARETIANA;17;JARDIM OLINDA;CAMPO LIMPO
-46.741573;-23.656798;35483667;JULIA MOTA ESCOLA DE EDUCACAO INFANTIL;JOAO FERNANDES CAMISA NOVA JUNIOR;850;JARDIM SAO LUIS;JARDIM SAO LUIS
-46.741099;-23.656392;35495694;TIA NINA RECREACAO INFANTIL;ANTONIO ESPER;106;JARDIM SAO LUIS;JARDIM SAO LUIS
-46.740383;-23.647717;35563638;VILA DA CRIANCA ESCOLA INFANTIL;ARISTODEMO GAZZOTTI;595;VILA DAS BELEZAS;JARDIM SAO LUIS
-46.743511;-23.645495;35569665;ESTRELINHAS DA MAMAE CENTRO DE EDUCACAO INFANTIL;LUCIANO SILVA;477;VILA DAS BELEZAS;JARDIM SAO LUIS
-46.742003;-23.646127;35577091;CEI NOVA AURORA;ISAIAS BRANCO DE ARAUJO;354;VILA DAS BELEZAS;JARDIM SAO LUIS
-46.733554;-23.653579;35568715;NELSON DE OLIVEIRA CAMPOS CENTRO DE EDUCACAO INFANTIL;SATULNINO DE OLIVEIRA;94;JARDIM SAO LUIS;JARDIM SAO LUIS
-46.730642;-23.65677;35579661;CENTRO DE EDUCACAO INFANTIL CAMINHO SUAVE;JOSE JOAQUIM ESTEVES;38;JARDIM SAO LUIS;JARDIM SAO LUIS
-46.741698;-23.634853;35560170;IRINEU CENTRO DE EDUCACAO INFANTIL;MARIA JOSE DA CONCEICAO;460;VILA ANDRADE;CAMPO LIMPO
-46.741698;-23.634853;35584548;CENTRO DE EDUCACAO INFANTIL IRINEU II;MARIA JOSE DA CONCEICAO;460;VILA ANDRADE;CAMPO LIMPO
-46.736071;-23.632803;35498440;CRESCENTE CENTRO DE RECREACAO E EDUCACAO INFANTIL;CLARINDO;51;VILA ANDRADE;VILA ANDRADE
-46.728746;-23.627178;35565702;DONA DIVA CENTRO DE EDUCACAO INFANTIL;MARIE NADER CALFAT;171;JARDIM AMPLIACAO;VILA ANDRADE
-46.756843;-23.618206;35576888;ESCOLA DE EDUCACAO INFANTIL J B MONTEIRO LOBATO;ANACE;166;JARDIM UMARIZAL;CAMPO LIMPO
-46.754937;-23.623221;35582888;CEI PENTAGRAMA VI;COATINGA;108;JARDIM UMARIZAL;CAMPO LIMPO
-46.754106;-23.621628;35560388;ARTES E LETRAS ESCOLA DE EDUCACAO INFANTIL;GUARAMEMBE;336;UMARIZAL;CAMPO LIMPO
-46.746315;-23.609549;35577637;FIDALITO EDUCACAO INFANTIL - FIDALITO III;LUIZ MIGLIANO DOUTOR;425;JARDIM CABORE;VILA SONIA
-46.75511;-23.593675;35579543;CENTRO DE EDUCACAO INFANTIL ALECRIM;FRANCISCO LEITE ESQUERDO;;JARDIM CELESTE;VILA SONIA
-46.753666;-23.593258;35569781;SABER VIVER I CENTRO DE EDUCACAO INFANTIL;FRANCESCO ALBANI;6;JARDIM JAQUELINE;VILA SONIA
-46.746848;-23.597233;35583194;CEI CHACARA DO JOCKEY;PIRAJUSSARA;4483;INSTITUTO DE PREVIDENCIA;VILA SONIA
-46.74667;-23.595665;35580739;CEMEI PROFESSORA LEILA GALLACCI METZKER;EDVARD CARMILO;;JARDIM CELESTE;VILA SONIA
-46.744547;-23.596738;35580727;EMEI PROFESSOR JORGE ADILSON CANDIDO;RUA SANTA EUFRASIA;;;VILA SONIA
-46.731136;-23.619877;35455854;PARAISOPOLIS CEU;JOSE AUGUSTO DE SOUZA E SILVA DOUTOR;;JARDIM PARQUE MORUMBI;VILA ANDRADE
-46.738439;-23.603623;35496820;ANDRADE GRIGOLI EDUCACAO INFANTIL COLEGIO;DAVID BEN GURION;240;JARDIM MONTE KEMEL;VILA SONIA
-46.738216;-23.604053;35562129;QUERUBINS EDUCACAO INFANTIL;DAVID BEN GURION;294;JARDIM MONTE KEMEL;VILA SONIA
-46.74189;-23.59965;35287600;COLEGIO ANGLO LEONARDO DA VINCI;AVENIDA PROFESSOR FRANCISCO MORATO;5000;;VILA SONIA
-46.733084;-23.598323;35578174;CENTRO DE EDUCACAO INFANTIL VILA DOS BAIXINHOS;SILVIO DANTE BERTACCHI DOUTOR;664;VILA SONIA;VILA SONIA
